"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.9148936170212765","0.0","0.2554347826086957","0.0","1","7","false","A0PK11","5.0","0","1","0","0.977048081755738","false","0","A0PK11","0","0.0"
"2.9184397163120566","0.03518336235834532","0.34264884568651277","0.0","5","6","false","Q8N6S5","26.4","0","5","0","0.9848941754621099","false","0","Q8N6S5","2788","0.2"
"1.0","0.0","1.0","0.0","2","1","false","A1A4S6","1.0","0","2","1","1.0","false","0","A1A4S6","0","0.0"
"1.0","0.0","1.0","0.0","2","1","false","Q6P5Z2","1.0","0","2","1","1.0","false","0","Q6P5Z2","0","0.0"
"4.487684729064039","0.0","0.22283205268935238","0.0","1","7","false","A1A4Y4","23.0","0","1","0","0.9128078817733989","false","0","A1A4Y4","0","0.0"
"3.4926108374384235","0.21421255426035216","0.2863187588152327","0.0","23","6","false","Q96CV9","1.3043478260869565","0","23","0","0.9376847290640395","false","0","Q96CV9","8784","0.043478260869565216"
"0.0","0.0","0.0","0.0","0","0","true","A1A519","0.0","0","0","0","Infinity","false","0","A1A519","0","0.0"
"2.0","0.0","0.5","0.0","1","3","false","A1A5B4","16.0","0","1","0","0.9375","false","0","A1A5B4","0","0.0"
"1.0588235294117647","0.9926470588235294","0.9444444444444444","0.0","17","2","false","Q12959","1.0625","0","17","1","0.9963235294117647","false","0","Q12959","270","0.0625"
"4.626506024096385","0.0","0.21614583333333334","0.0","1","7","false","A1A5C7","9.0","0","1","0","0.835158817086528","false","0","A1A5C7","0","0.0"
"3.63855421686747","0.20599471054951515","0.27483443708609273","0.0","9","6","false","P60410","1.8888888888888888","0","9","0","0.8800657174151151","false","0","P60410","1402","0.1111111111111111"
"1.0","0.0","1.0","0.0","1","1","false","A1E959","1.0","0","1","0","1.0","false","0","A1E959","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","Q13444-2","1.0","0","1","0","1.0","false","0","Q13444-2","0","0.0"
